workload,workloadId,strategy,seed,attempt,faultScenarioId,faultVector,status,score,executionAttemptId,terminalStatus,scheduleConformance,wallSeconds,attemptRecord,DELETED_DEPENDENCY,FAILED_OPERATION_RESIDUAL,UNRESOLVED_DELIVERED_EVENT,runnerDiagnostic,reportSourceSetupSeconds,reportPrerequisiteSetupSeconds
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,1,0fe00915b0ce5dfc100c7b9826273564e240d79f950c1fa16cfe114471d6f63b,00000,COMPLETE,0,791daa3e-d12d-403f-aa4e-b216a72b7bae,PARTIAL_COMPENSATED,DEVIATED,18.574635041004512,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r01-0fe00915b0ce5dfc100c7b9826273564e240d79f950c1fa16cfe114471d6f63b/attempt.json,0,0,0,'sourceSetup',,1.137672167
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,2,0146d3ba78e78832b7f0519998c9c9af3ec65c24d307d53747e6d2e95bd3eee9,00001,COMPLETE,0,4a639cb6-8861-4066-96c9-ef123c1dec53,PARTIAL_COMPENSATED,EXACT,17.140861624968238,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r02-0146d3ba78e78832b7f0519998c9c9af3ec65c24d307d53747e6d2e95bd3eee9/attempt.json,0,0,0,'sourceSetup',,1.182708292
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,3,66efce98f8bd977e95d373ee745bc5912afb5092dc817edb8c7513744e11755f,00010,COMPLETE,0,772e54cb-f007-4850-8b02-cc3886c7bec2,PARTIAL_COMPENSATED,EXACT,17.226577166991774,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r03-66efce98f8bd977e95d373ee745bc5912afb5092dc817edb8c7513744e11755f/attempt.json,0,0,0,'sourceSetup',,1.343929793
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,4,10189e529ce20ee3ede9b6168047b44bb732fc05abef304c28e4ff64fea6439d,00100,COMPLETE,2,d93dcfdc-de80-4528-8102-61ac735a3a72,PARTIAL_COMPENSATED,EXACT,17.497415249992628,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r04-10189e529ce20ee3ede9b6168047b44bb732fc05abef304c28e4ff64fea6439d/attempt.json,1,1,0,'sourceSetup',,1.445895125
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,5,59ef14fad2da70ef40a407f18bc78d21e8b114074b5995323f654246799b43b1,00100,COMPLETE,2,abfd2b7c-bc2b-441d-92e2-487e4819c2c7,PARTIAL_COMPENSATED,EXACT,18.162469000031706,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r05-59ef14fad2da70ef40a407f18bc78d21e8b114074b5995323f654246799b43b1/attempt.json,1,1,0,'sourceSetup',,1.555086959
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,6,646f5d222b1163be2c960a0a62db92b6dd38177c2033a0e33cacd8ed0821c89a,00100,COMPLETE,2,650ae941-8463-4648-b0bf-17595cf30ae0,PARTIAL_COMPENSATED,EXACT,17.795507417002227,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r06-646f5d222b1163be2c960a0a62db92b6dd38177c2033a0e33cacd8ed0821c89a/attempt.json,1,1,0,'sourceSetup',,1.179022334
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,7,82e16465a3ab633698026d814a17c464d29f6e466bae32f00b6be4c021856745,00100,COMPLETE,2,c16e7510-f29d-4be1-aa3b-a7940b8947f8,PARTIAL_COMPENSATED,EXACT,19.545333458983805,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r07-82e16465a3ab633698026d814a17c464d29f6e466bae32f00b6be4c021856745/attempt.json,1,1,0,'sourceSetup',,1.517253168
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,8,aa8dd36929c7660168adf7cbf36b62ad59cd03e818bc2a96b107b67c167b3b58,00100,COMPLETE,2,ce171133-df4d-48ce-a71d-26786ae6bd58,PARTIAL_COMPENSATED,EXACT,18.419434167037252,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r08-aa8dd36929c7660168adf7cbf36b62ad59cd03e818bc2a96b107b67c167b3b58/attempt.json,1,1,0,'sourceSetup',,1.613827751
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,9,fd1a9acafd2f42b6a4467a6dfbe35f08ca2ed17344ac3ccd1de9ac549994254b,00100,COMPLETE,2,12385a7c-6788-4ae2-85c9-f2cd39d47f96,PARTIAL_COMPENSATED,EXACT,19.351421958010178,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r09-fd1a9acafd2f42b6a4467a6dfbe35f08ca2ed17344ac3ccd1de9ac549994254b/attempt.json,1,1,0,'sourceSetup',,1.590326334
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,10,16e3557d09f431179c38969c6ede2bea3206546c9f611e879f065298fb2f15bc,00101,COMPLETE,2,96f128c5-44f6-4666-8dfc-57c93fa94647,COMPENSATED,EXACT,19.169200417003594,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r10-16e3557d09f431179c38969c6ede2bea3206546c9f611e879f065298fb2f15bc/attempt.json,1,1,0,'sourceSetup',,1.037652583
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,11,34bfe0334ff91b9a7da328b579105ff046600a44aaaf4f1a48a34c9d9372b45b,00101,COMPLETE,2,38636e9b-9a15-432f-9123-79ffc2a24620,COMPENSATED,EXACT,21.017573457967956,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r11-34bfe0334ff91b9a7da328b579105ff046600a44aaaf4f1a48a34c9d9372b45b/attempt.json,1,1,0,'sourceSetup',,1.462233501
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,deterministic,,12,36d82c493cfad36764aeafa3f0b3f7fa4f052b7f0bf80710faa2fc7b0d36648b,00101,COMPLETE,2,e331cc33-c711-4e2e-9ab1-5b96d85352ec,COMPENSATED,EXACT,20.380778957973234,verifiers/target/search-baselines/run-01/benchmark/deterministic/c1/r12-36d82c493cfad36764aeafa3f0b3f7fa4f052b7f0bf80710faa2fc7b0d36648b/attempt.json,1,1,0,'sourceSetup',,1.203530251
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,random,11,1,8e8ba414a239b47a493598e8db79fe59791711d6fd7d8e80fde783827e4be359,10000,COMPLETE,0,055cf298-6c97-4edb-9174-ab9a7d07fa49,PARTIAL_COMPENSATED,EXACT,18.16857587499544,verifiers/target/search-baselines/run-01/benchmark/random-11/c1/r01-8e8ba414a239b47a493598e8db79fe59791711d6fd7d8e80fde783827e4be359/attempt.json,0,0,0,'sourceSetup',,1.010905542
benchmark,435ac86830d1ad7d778abe6dd4e046f728c9f3fd695106657aa430bc2d1710fc,random,11,2,16e3557d09f431179c38969c6ede2bea3206546c9f611e879f065298fb2f15bc,00101,COMPLETE,2,3e5e1c63-d84f-4d95-976d-ceffc13311e2,COMPENSATED,EXACT,16.567547417012975,verifiers/target/search-baselines/run-01/benchmark/random-11/c1/r02-16e3557d09f431179c38969c6ede2bea3206546c9f611e879f065298fb2f15bc/attempt.json,1,1,0,'sourceSetup',,1.002697084
